AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-66,4,295,-772,-846,-252,73,-15,98,648,-2821,183,278,-33,-302,-352,-1764,-742,35,86,-55,248,1128,910,52,-63,-29,524,725,-108,7,39,52,-821,1093,-125,30,-18,-103,1526,824,70,-26,28,-36,-1439,2643,-145,-58,29,165,370,830,190,2,-48,-9,-168,613,-60,-1,4,-35,243,818,16,-37,-43,-27,152,734,-122,-58,46,24,112,-292,229,-85,-34,16,168,278,-227,-103,18,62,-609,-804,227,-69,14,63,3,-815,25,-80,-6,16,114,-996,-146,-18,4,-38,-120,-893,-66,-8,-1,-74,49,-406,-32,-9,5,-36,92,-224,44,down
-3,-3,-33,-159,-59,-37,6,6,-14,128,-8,14,4,-1,-6,-151,119,-64,8,4,19,215,-89,159,11,-4,-8,-177,2,-99,-1,-6,6,112,20,64,1,0,-6,-15,-78,-66,9,5,4,65,20,49,3,0,-16,-87,68,-36,3,-5,4,4,63,-9,-15,-12,155,-148,-353,-178,6,2,141,-586,-1022,-21,98,20,46,557,-1955,397,268,-55,-162,665,-2418,-390,133,71,-135,-306,807,363,53,-58,-226,-1084,1856,-697,-70,18,46,842,2188,709,-7,-25,-30,192,1150,-135,-50,33,101,-358,1703,-4,-45,-24,57,1058,661,-148,down
-4,25,4,-979,684,290,-55,-28,51,387,367,-188,-71,7,15,-207,-271,145,-74,16,54,225,-566,-134,-91,-2,15,-331,-553,38,-48,22,45,215,-1051,151,-17,-21,-59,-546,-599,-177,-18,-1,-45,736,-653,-2,5,5,-36,-404,-4,-21,1,-9,-45,216,-137,-34,0,8,8,-176,193,79,5,4,-5,50,-128,-89,8,4,0,17,149,106,-3,-6,5,56,-21,-60,6,-2,-7,-161,73,13,3,-6,5,68,-39,-56,-2,15,-4,172,152,105,-12,-7,19,-209,-136,-56,8,0,-14,97,50,29,4,-3,5,-44,-41,-49,down
-33,6,173,-154,-200,-27,2,24,187,-106,-1388,234,229,-29,-98,644,-3223,-112,194,-58,-164,-1146,-1035,-317,51,49,-85,947,1130,563,33,-19,-80,-101,1837,-253,16,45,-56,436,1491,7,24,9,-116,-789,2636,-11,-126,-7,257,137,1346,61,-13,-18,12,162,609,91,-49,-28,19,-156,272,-288,-61,29,25,183,-355,293,-73,-24,-12,43,-20,-198,-84,6,31,53,-964,3,-50,11,14,-560,-460,-144,-48,2,3,372,-541,26,-25,5,-16,126,-621,-105,-4,18,-32,-39,-169,158,-5,-12,-35,84,-458,14,5,1,-8,-170,-33,81,down
0,-11,-23,-104,-57,-74,12,5,-11,322,104,79,3,1,-5,-282,129,-60,-6,-1,14,102,7,92,3,-8,5,-6,-34,-92,5,6,-3,-48,56,31,-4,-4,3,172,-55,-30,1,3,1,-155,-11,-55,-1,1,-6,91,56,80,-1,-1,7,-33,-45,-38,2,28,173,-50,-625,41,31,-8,40,45,-1277,327,89,-50,-38,-124,-1065,-96,141,0,38,257,-2870,-248,167,20,-174,-500,290,-27,69,-21,-105,340,2219,-177,21,26,-45,614,1872,265,-23,31,-37,-790,2228,-337,-98,11,182,-66,1228,334,-38,-51,36,77,715,-254,down
-18,-7,-44,521,727,-119,-61,-1,34,-46,-97,-16,-56,26,-21,-342,-287,373,-77,-17,36,183,-733,-82,-56,10,4,-96,-423,27,-43,4,52,45,-929,-12,-21,-2,-30,-157,-228,-38,-14,4,-14,177,-469,93,13,-17,-61,-270,-298,-48,-5,4,-40,85,25,26,-12,0,-5,84,2,4,-4,2,12,-66,-48,7,7,6,0,177,-111,-33,9,4,-10,-213,155,-29,0,-10,6,89,-71,44,4,0,-5,-87,142,11,-4,-2,10,115,-15,-20,-1,7,-8,-58,68,12,-3,-6,13,81,-82,-21,4,4,-16,-48,90,19,down
-39,20,157,-218,-383,44,3,74,182,-285,-1170,728,249,-70,52,1276,-4563,11,276,-74,-297,-410,-1133,-985,1,40,-39,-1156,2933,463,-11,-20,-86,1495,1440,-289,65,33,-160,1067,1548,176,-86,75,228,-3017,3270,-512,-107,-29,106,1254,5,342,9,-38,-48,-287,786,-85,-50,-38,5,608,465,-152,-25,11,-6,-415,241,-59,-81,10,-4,274,-448,61,-70,1,17,-309,-693,108,-58,11,-5,36,-514,123,-49,-17,28,14,-798,-4,-20,12,-31,41,-588,-77,-14,2,7,21,-406,10,16,4,-82,-67,-162,6,-1,-21,-12,62,-106,85,down
-1,-6,-27,-98,145,19,0,6,15,65,29,-9,6,8,1,79,-65,-60,5,10,-7,26,101,70,-6,-14,18,-58,-31,-22,-5,-4,1,43,-28,-11,4,6,-2,-67,36,-38,2,6,-3,-36,-18,1,0,-2,0,40,-10,40,-2,-7,7,32,-24,-29,13,8,165,-91,-1054,262,41,-7,54,-148,-1138,9,124,22,9,510,-2113,345,159,-24,-123,-345,-939,-507,104,-16,-1,326,-172,114,50,43,-57,-879,2000,77,39,-7,-115,1380,1522,-154,-31,39,-22,-1336,3364,-284,-130,-24,214,311,1218,371,-5,-34,-8,-156,574,-431,down
-27,-42,-81,648,1086,-376,-25,54,51,-352,-18,426,-95,-20,-1,-117,-593,-104,-115,1,-4,445,-1561,165,-38,15,7,-71,-701,58,-42,-12,2,-117,-624,-63,-17,2,2,-67,-229,81,-10,-1,-21,161,-280,-27,-8,6,-36,-146,-6,58,-4,-5,-23,23,-329,-93,3,2,-18,-34,167,140,-17,1,20,28,-239,-29,10,-1,-12,-66,62,-11,4,-7,-2,210,-105,25,3,3,-5,-179,118,-24,1,-4,-2,38,-13,10,2,5,-2,-7,3,-12,-5,1,6,57,36,52,4,-11,-1,-21,-70,-65,1,9,-2,-52,86,6,down
-8,37,162,-33,-859,100,56,21,57,-113,-1166,342,120,-91,-42,-6,-1566,110,124,8,-73,621,-992,-152,82,-5,-52,-684,-20,-271,16,28,-70,247,1717,160,17,4,13,-226,1145,-75,33,-1,-116,442,1646,-20,-44,23,97,-584,1738,-325,-32,-20,58,377,823,-72,-12,-7,-2,58,615,-105,-44,-23,-9,305,504,-83,-37,17,23,-64,74,45,-87,21,15,-111,-318,217,-98,-4,80,56,-1073,34,-63,14,15,-300,-876,0,-43,-5,5,-68,-813,69,9,3,-91,-105,-334,-47,-23,-7,-6,350,-221,80,-2,1,-23,-300,-347,27,down
13,-16,-39,111,55,13,-2,5,-14,52,-14,-82,2,17,2,7,241,109,2,-10,12,2,-146,-27,5,-4,-8,-73,156,-35,2,6,14,137,-34,52,0,-8,8,-63,-162,-81,7,1,-18,-72,188,8,-1,-2,1,46,-67,26,0,6,-8,37,98,-2,-2,-1,158,1,-746,63,55,-25,147,-335,-971,-136,104,35,56,-656,-2335,215,210,-19,-342,767,-966,232,35,-47,-93,-887,1398,507,13,5,-69,1215,1102,-713,7,2,-111,488,2093,124,-29,19,112,-1164,2181,-484,-93,18,179,731,412,134,-7,-32,-7,-24,293,-213,down
-22,-7,24,217,531,-297,-58,32,15,-61,78,147,-75,1,45,-138,-613,154,-71,4,1,54,-797,118,-29,9,2,-112,-553,66,-34,-2,3,-177,-754,-32,-8,4,-36,49,-241,55,6,-4,-31,144,-270,57,2,0,-45,-164,74,-37,-7,0,4,38,-34,64,-2,-6,0,56,-41,-60,8,16,-5,-97,82,45,4,-7,6,56,2,17,6,-5,-10,31,22,19,-4,0,5,-26,7,-27,0,-6,-5,52,33,-9,2,4,3,-88,56,-23,-3,5,4,189,-8,38,-3,0,3,-310,1,-60,1,0,-2,218,-31,43,down
18,15,157,-242,-993,198,55,-25,66,213,-1324,96,120,14,-46,77,-1326,271,100,-28,-113,-790,-328,-256,44,-26,-4,443,-306,-242,51,63,-102,-253,1708,-58,31,-39,-110,1144,1274,230,3,22,-47,-1122,2450,-433,-98,19,245,260,771,100,-30,-27,30,95,181,-159,-16,-24,-34,354,567,5,-23,13,5,-325,312,33,-55,-12,11,22,-436,51,-59,8,8,333,-450,-95,-45,6,17,175,-561,95,-39,10,0,-108,-441,25,-27,12,-5,-199,-331,15,-28,-1,-1,-158,-380,-34,-5,14,-29,-14,-266,119,14,-10,-27,173,-350,-1,down
-2,7,-22,-159,170,38,-5,-10,3,10,-56,-16,-2,13,-2,-37,16,12,8,-9,-3,-113,51,65,5,-7,-5,167,-44,-40,-1,5,6,19,-100,-14,1,2,-9,-26,183,40,2,-7,5,5,-88,-52,-1,7,-2,-22,141,16,-2,-3,8,-22,-61,-7,65,8,147,112,-1784,165,58,-15,30,-513,-1675,38,128,12,-56,-414,-1421,-244,90,-28,-74,619,764,288,13,-32,25,-360,1179,-276,46,21,-56,403,1094,76,55,-4,-146,890,1944,441,-56,15,115,-1221,1658,-759,-66,33,87,551,712,172,-19,-42,8,-51,303,-50,down
-41,-8,-6,-26,406,-206,-53,12,-3,9,-91,-7,-54,-1,11,176,-248,-24,-75,-7,26,443,-1037,149,-43,16,5,-447,-534,-20,-31,7,-19,194,-783,21,-8,23,-22,-573,-229,125,-10,-14,-33,571,-283,89,6,15,-17,-498,10,145,5,-15,-28,238,20,-93,-1,-10,-7,-123,81,5,-11,11,19,88,-185,-95,12,6,-11,11,145,100,2,-7,6,37,-150,-55,-1,2,-4,-50,135,-8,-5,8,10,-38,-65,41,13,-8,-8,142,-47,44,-2,2,-8,-113,-2,-49,-1,7,-5,-47,157,55,-5,-14,12,165,-98,-64,down
7,18,161,-255,-613,19,42,-2,47,-69,-944,326,83,-32,-38,79,-1414,175,100,-20,-12,104,-1889,-358,91,47,-176,-209,813,-433,39,-18,-23,-221,1394,-202,54,-9,-229,647,2479,612,-31,2,139,-595,1944,-178,-99,6,157,239,821,-54,-32,-18,21,278,307,-111,-31,-6,12,99,130,-247,-71,18,5,192,-230,224,-57,10,39,-68,-676,119,-56,8,10,-24,-572,66,-28,2,5,-71,-799,35,-14,-4,-32,-398,-191,-32,-6,-1,-44,442,-587,15,1,12,-30,-382,20,-17,-6,1,-15,168,-63,34,-7,-3,3,-196,102,-26,down
1,1,7,60,-41,-36,6,5,-17,112,38,76,2,-2,9,-160,-5,-20,-2,-4,-1,66,-74,-45,5,9,1,-10,31,42,-2,-10,-11,139,-56,-26,2,10,13,-99,118,35,0,3,-3,28,6,19,-2,-5,6,-10,39,5,1,-3,-9,-1,-37,-36,13,-9,158,-89,-154,-64,37,10,7,237,-535,61,37,-26,-59,-658,-911,181,52,11,-80,867,-885,-220,38,9,-61,-1041,-419,139,-9,82,-115,1741,-120,-88,3,19,-139,-729,2168,-110,-2,-28,84,-897,2160,297,3,-33,182,199,292,-212,-11,-16,0,253,76,95,down
-22,-21,17,-189,-42,-25,-26,-13,8,194,73,-32,-31,2,28,96,-179,-32,-22,1,27,0,-163,-20,-41,2,26,128,-359,-3,-18,4,19,-19,-311,25,-20,1,-5,-94,-330,-42,-16,11,-17,-20,-264,18,-1,-3,-39,-63,-190,11,-9,4,-25,10,44,40,-4,-6,-1,13,-11,-41,4,10,-9,17,-31,16,0,-9,4,29,69,-8,1,6,-1,-42,-95,-2,1,3,2,114,149,25,1,-2,8,-60,-79,19,1,-3,-13,-60,-6,2,0,-2,4,52,-23,1,-2,0,-4,-84,38,3,1,-4,3,-20,-20,-27,down
39,-8,152,75,-631,252,47,3,16,112,-1150,-235,73,-11,-97,58,-1479,-37,68,21,-114,-244,-184,-117,28,-4,-147,84,-557,-230,-44,43,-108,330,3341,342,6,6,81,-703,2026,-71,-2,1,201,268,294,87,-23,-48,32,-228,-153,46,-23,-15,-12,267,-106,-171,-23,1,-5,-55,49,84,-24,-9,19,103,-164,-94,-16,15,3,234,-29,36,-26,7,39,-169,-433,51,-17,2,2,27,-85,37,-20,-11,18,-75,-487,38,-6,2,-35,108,12,72,-5,-7,-7,-152,-272,-48,1,-6,-34,61,66,-7,-8,3,-5,112,-7,-88,down
-5,24,-1,-148,-31,21,0,-2,-1,-16,-16,70,7,-6,-1,59,-19,-47,4,10,-8,68,88,108,-8,-10,12,-161,-51,-53,2,-2,-4,231,17,-27,1,9,2,-121,-92,-6,6,-2,-6,9,33,19,-4,0,3,-1,34,-22,1,5,-5,59,-53,41,33,-14,156,-263,-785,50,41,-15,27,-163,-965,-209,131,-14,-124,-1660,-623,258,-30,-43,-220,1830,961,-204,-73,54,-67,11,520,260,0,-1,-2,365,781,-221,38,28,123,-260,1005,23,-5,-8,107,114,113,-79,-5,-17,-12,-66,125,57,-13,-18,11,27,102,-37,down
-17,0,-3,40,130,-51,-25,3,26,314,-170,-82,-22,21,8,-193,37,95,-28,-2,24,-120,-228,50,-15,2,17,35,-293,-8,-15,4,12,-31,-392,-4,-4,16,-22,-59,-101,37,-4,-13,-11,-22,-185,-2,3,-1,-28,-142,-22,12,-4,1,-9,158,-36,9,-4,-1,-4,-51,38,-21,-3,7,4,72,-44,9,5,1,-8,17,39,1,4,2,-1,-41,-5,21,0,-7,5,9,11,-29,2,1,-9,-37,75,12,-2,-1,6,-5,-8,-12,-1,2,-4,7,28,15,2,-2,2,29,25,3,-4,2,-4,-43,61,-25,down
15,-5,156,-146,-712,65,57,19,101,439,-1574,62,137,-69,-77,-775,-2401,-159,105,70,-149,936,-412,-64,40,-16,-155,-1181,1529,104,-1,-35,-164,1349,2292,150,-8,50,71,-1022,2793,-261,-58,15,227,445,543,12,-46,-23,48,-65,82,-81,-34,-27,-15,143,-49,-22,-33,4,-8,-20,90,189,-48,-5,1,159,-151,-98,-37,17,43,-24,-602,103,-35,-11,-20,-174,-356,1,-18,4,29,101,-528,26,-22,-1,-14,-219,-435,-149,-4,17,-32,49,-12,81,-10,-6,-11,31,-204,25,-3,6,-16,9,-5,66,-3,-8,10,42,-84,-50,down
